front,back,Fdown,Bdown,code
168,867,,-20,
168,870,,-20,
168,861,,-20,
168,821,,-20,
168,817,,-20,
168,784,,-20,
168,792,,-20,
168,802,,-20,
168,791,,-20,
168,768,,-20,
168,749,,-20,
168,738,,-20,
168,740,,-20,
168,746,,-20,
168,764,,-20,
168,774,,-20,
168,782,,-20,
168,788,,-20,
168,793,,-20,
168,804,,-20,
168,822,,-20,
168,835,,-20,
168,849,,-20,
168,856,,-20,
168,857,,-20,
168,846,,-20,
168,836,,-20,
168,825,,-20,
168,797,,-20,
168,759,,-20,
168,723,,-20,
168,693,,-20,
168,675,,-20,
168,659,,-20,
168,634,,-20,
168,610,,-20,
168,569,,-20,
168,542,,-20,
168,520,,-20,
168,425,,-20,
168,467,,-20,
168,462,,-20,
168,463,,-20,
168,455,,-20,
168,650,,-20,
168,770,,-20,
168,822,,-20,
168,853,,-20,
168,860,,-20,
168,872,,-20,
168,877,,-20,
168,879,,-20,
168,883,,-20,
168,884,,-20,
168,879,,-20,
168,869,,-20,
168,852,,-20,
168,830,,-20,
168,803,,-20,
168,791,,-20,
168,791,,-20,
168,799,,-20,
168,811,,-20,
168,824,,-20,
168,833,,-20,
168,839,,-20,
168,844,,-20,
168,846,,-20,
168,842,,-20,
168,840,,-20,
168,835,,-20,
168,832,,-20,
168,832,,-20,
168,835,,-20,
168,836,,-20,
168,836,,-20,
168,835,,-20,
168,831,,-20,
168,827,,-20,
168,822,,-20,
168,823,,-20,
168,825,,-20,
168,845,,-20,
168,860,,-20,
168,876,,-20,
168,883,,-20,
168,886,,-20,
168,887,,-20,
168,888,,-20,
168,890,,-20,
168,889,,-20,
168,887,,-20,
168,886,,-20,
168,884,,-20,
168,885,,-20,
168,886,,-20,
168,887,,-20,
168,890,,-20,
168,892,,-20,
168,892,,-20,
168,892,,-20,
168,893,,-20,
168,889,,-20,
168,878,,-20,
168,870,,-20,
168,862,,-20,
168,848,,-20,
168,840,,-20,
168,831,,-20,
168,832,,-20,
168,840,,-20,
168,844,,-20,
168,844,,-20,
168,842,,-20,
168,841,,-20,
168,843,,-20,
168,847,,-20,
168,853,,-20,
168,868,,-20,
168,872,,-20,
168,868,,-20,
168,859,,-20,
168,851,,-20,
168,843,,-20,
168,822,,-20,
168,804,,-20,
168,799,,-20,
168,803,,-20,
168,805,,-20,
168,806,,-20,
168,809,,-20,
168,816,,-20,
168,823,,-20,
168,826,,-20,
168,836,,-20,
168,845,,-20,
168,847,,-20,
168,849,,-20,
168,859,,-20,
168,864,,-20,
168,867,,-20,
168,867,,-20,
168,867,,-20,
168,864,,-20,
168,862,,-20,
168,859,,-20,
168,855,,-20,
168,850,,-20,
168,853,,-20,
168,855,,-20,
168,856,,-20,
168,864,,-20,
168,872,,-20,
168,869,,-20,
168,862,,-20,
168,852,,-20,
168,831,,-20,
168,798,,-20,
168,760,,-20,
168,720,,-20,
168,673,,-20,
168,641,,-20,
168,631,,-20,
168,630,,-20,
168,627,,-20,
168,628,,-20,
168,639,,-20,
168,668,,-20,
168,704,,-20,
168,736,,-20,
168,747,,-20,
168,764,,-20,
168,785,,-20,
168,791,,-20,
168,788,,-20,
168,770,,-20,
168,752,,-20,
168,731,,-20,
168,722,,-20,
168,735,,-20,
168,752,,-20,
168,780,,-20,
168,826,,-20,
168,837,,-20,
168,840,,-20,
168,848,,-20,
168,856,,-20,
168,858,,-20,
168,857,,-20,
168,853,,-20,
168,847,,-20,
168,838,,-20,
168,827,,-20,
168,796,,-20,
168,735,,-20,
168,678,,-20,
168,662,,-20,
168,645,,-20,
168,643,,-20,
168,676,,-20,
168,706,,-20,
168,724,,-20,
168,746,,-20,
168,762,,-20,
168,757,,-20,
168,752,,-20,
168,761,,-20,
168,753,,-20,
168,745,,-20,
168,732,,-20,
168,714,,-20,
168,695,,-20,
168,665,,-20,
168,614,,-20,
168,558,,-20,
168,520,,-20,
168,533,,-20,
168,541,,-20,
168,545,,-20,
168,548,,-20,
168,550,,-20,
168,557,,-20,
168,555,,-20,
168,561,,-20,
168,572,,-20,
168,553,,-20,
168,527,,-20,
168,498,,-20,
168,469,,-20,
168,459,,-20,
168,462,,-20,
168,470,,-20,
168,481,,-20,
168,474,,-20,
168,472,,-20,
168,477,,-20,
168,463,,-20,
168,443,,-20,
168,403,,-20,
168,392,,-20,
168,396,,-20,
168,395,,-20,
168,401,,-20,
168,409,,-20,
168,420,,-20,
168,406,,-20,
168,451,,-20,
168,476,,-20,
168,506,,-20,
168,496,,-20,
168,522,,-20,
168,569,,-20,
168,607,,-20,
168,630,,-20,
168,693,,-20,
168,734,,-20,
168,762,,-20,
168,784,,-20,
168,808,,-20,
168,818,,-20,
168,821,,-20,
168,796,,-20,
168,746,,-20,
168,670,,-20,
168,670,,-20,
168,722,,-20,
168,782,,-20,
168,800,,-20,
168,799,,-20,
168,795,,-20,
168,785,,-20,
168,769,,-20,
168,761,,-20,
168,765,,-20,
168,772,,-20,
168,783,,-20,
168,799,,-20,
168,811,,-20,
168,826,,-20,
168,842,,-20,
168,834,,-20,
168,818,,-20,
168,723,,-20,
168,606,,-20,
168,447,,-20,
168,392,,-20,
168,325,,-20,
168,279,,-20,
168,271,,-20,
168,254,,-20,
168,274,,-20,
168,318,,-20,
168,359,,-20,
168,481,,-20,
168,541,,-20,
168,559,,-20,
168,548,,-20,
168,607,,-20,
168,624,,-20,
168,627,,-20,
168,664,,-20,
168,683,,-20,
168,679,,-20,
168,663,,-20,
168,671,,-20,
168,690,,-20,
168,724,,-20,
168,764,,-20,
168,776,,-20,
168,790,,-20,
168,798,,-20,
168,798,,-20,
168,794,,-20,
168,798,,-20,
168,803,,-20,
168,805,,-20,
168,811,,-20,
168,810,,-20,
168,801,,-20,
168,792,,-20,
168,773,,-20,
168,730,,-20,
168,644,,-20,
168,490,,-20,
168,367,,-20,
168,293,,-20,
168,233,,-20,
168,225,,-20,
168,215,,-20,
168,237,,-20,
168,281,,-20,
168,353,,-20,
168,403,,-20,
168,476,,-20,
168,590,,-20,
168,595,,-20,
168,599,,-20,
168,663,,-20,
168,718,,-20,
168,732,,-20,
168,754,,-20,
168,781,,-20,
168,796,,-20,
168,788,,-20,
168,739,,-20,
168,665,,-20,
168,594,,-20,
168,530,,-20,
168,550,,-20,
168,631,,-20,
168,740,,-20,
168,779,,-20,
168,791,,-20,
168,807,,-20,
168,823,,-20,
168,827,,-20,
168,833,,-20,
168,835,,-20,
168,833,,-20,
168,830,,-20,
168,831,,-20,
168,826,,-20,
168,810,,-20,
168,778,,-20,
168,718,,-20,
168,641,,-20,
168,557,,-20,
168,485,,-20,
168,471,,-20,
168,469,,-20,
168,464,,-20,
168,493,,-20,
168,522,,-20,
168,561,,-20,
168,585,,-20,
168,583,,-20,
168,540,,-20,
168,511,,-20,
168,527,,-20,
168,538,,-20,
168,507,,-20,
168,511,,-20,
168,461,,-20,
168,404,,-20,
168,368,,-20,
168,385,,-20,
168,634,,-20,
168,764,,-20,
168,788,,-20,
168,789,,-20,
168,794,,-20,
168,799,,-20,
168,798,,-20,
168,793,,-20,
168,800,,-20,
168,799,,-20,
168,793,,-20,
168,776,,-20,
168,753,,-20,
168,740,,-20,
168,721,,-20,
168,711,,-20,
168,702,,-20,
168,667,,-20,
168,568,,-20,
168,528,,-20,
168,514,,-20,
168,485,,-20,
168,467,,-20,
168,455,,-20,
168,451,,-20,
168,449,,-20,
168,464,,-20,
168,469,,-20,
168,478,,-20,
168,482,,-20,
168,367,,-20,
168,270,,-20,
168,172,,-20,
168,162,,-20,
168,154,,-20,
664,86,-19,,
738,92,-19,,
757,103,-19,,
738,188,-19,,
676,330,-19,,
676,706,-19,-20,
676,790,-19,-20,
676,834,-19,-20,
676,854,-19,-20,
676,864,-19,-20,
676,872,-19,-20,
676,878,-19,-20,
676,879,-19,-20,
676,877,-19,-20,
676,875,-19,-20,
676,873,-19,-20,
676,869,-19,-20,
676,855,-19,-20,
676,832,-19,-20,
676,794,-19,-20,
676,732,-19,-20,
676,628,-19,-20,
676,492,-19,-20,
676,343,-19,-20,
676,207,-19,-20,
741,132,-19,,
674,26,-19,,
547,2,-19,,
746,0,-19,,
798,0,-19,,
795,0,-19,,
705,0,-19,,
798,0,-19,,
782,0,-19,,
662,0,-19,,
740,0,-19,,
594,0,-19,,
652,0,-19,,
666,0,-19,,
582,0,-19,,
588,0,-19,,
504,0,-19,,
432,0,-19,,
468,0,-19,,
429,0,-19,,
434,0,-19,,
512,0,-19,,
291,0,-19,,
443,0,-19,,
556,0,-19,,
